site_spp,A(const),E(const),gb(const),Ci(const),Tleaf(const),Pleaf(const),Rublim(const),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
Richmond_Eucalyptus_cladocalyx,1.6571594243619534,0.1830006748711437,4.64,11.748377913505688,25.883614285369067,-0.5442011695423301,True,-0.5,1800.0,23.6175,1.4525,102.3,38.41534725,77,12.216666666666699,30.375,6.2575,26.3445,0.47275,4.64,-2.65,25.82
Richmond_Eucalyptus_cladocalyx,1.685100397333854,0.19346225082402804,4.64,11.814948046803876,25.897023342442193,-0.5442011695423301,True,-0.5,1800.0,23.645,1.56,102.2,38.90500031,77,12.283333333333301,21.15,4.835,27.053775,0.33025,4.64,-2.65,26.0475
Richmond_Eucalyptus_cladocalyx,1.5066267659984671,0.28511116818035576,4.64,14.740984566184686,32.26312790928331,-0.6873973139590321,True,-0.6,1800.0,30.045,2.34,102.0,38.9148795,77,14.583333333333302,20.15,7.425,27.3070875,0.33525,4.64,-2.8,31.8275
Richmond_Eucalyptus_cladocalyx,1.4862734295730682,0.26452652461752985,4.64,14.647014935710795,32.19264062739555,-0.9348847511449618,True,-0.85,1800.0,29.9475,2.125,102.0,38.49438075,77,14.783333333333301,28.875,7.4125,23.9633625,0.37175,4.64,-2.9,31.025
Richmond_Eucalyptus_cladocalyx,1.5020705595134791,0.269557518313751,4.64,14.662846219011474,32.145962978401776,-0.5884023390846603,True,-0.5,1799.0,29.91,2.18,102.0,38.76365194,77,14.933333333333302,22.4,7.77,27.35775,0.37925,4.64,-2.12,31.0
Richmond_Eucalyptus_dunnii,1.959688507982142,0.0885251434453514,4.64,8.773068096391558,15.937865636351473,-0.95,True,-0.95,500.0,15.46,0.83825,100.65,39.79792687,20,8.01666666666667,3.415,0.6459999999999999,32.09469375,0.077725,4.64,-1.2,16.7625
Richmond_Eucalyptus_dunnii,1.9595894360705917,0.08578752291621239,4.64,8.720723078955329,15.76836498257373,-0.95,True,-0.95,500.0,15.2875,0.81125,100.7,39.75942338,20,8.1,6.6675,1.2825,32.39866875,0.162,4.64,-1.2,16.86
Richmond_Eucalyptus_dunnii,1.9345605881352281,0.0804292750682017,4.64,8.84917263668915,16.35215195970062,-0.85,True,-0.85,501.0,15.86,0.75325,100.6,39.46102125,20,8.26666666666667,11.55,1.2725,27.88970625,0.17325,4.64,-1.4,17.4575
Richmond_Eucalyptus_dunnii,1.9470589071158435,0.07739347770579105,4.64,8.767428208114499,16.012004367556266,-0.85,True,-0.85,499.0,15.52,0.72375,100.6,39.57703838,20,8.36666666666667,10.175,1.045,27.68705625,0.14725,4.64,-1.35,17.2475
Richmond_Eucalyptus_dunnii,1.906782238810108,0.08775711446621355,4.64,9.213469733805036,17.585814752346803,-1.2540008245788508,True,-1.21,501.25,17.0975,0.8235,100.6,39.38578744,20,8.53333333333333,12.85,1.3125,25.81254375,0.16325,4.64,-1.4,18.7175
Richmond_Eucalyptus_dunnii,1.912313897523998,0.0817921390999065,4.64,9.173054263152244,17.437855625949318,-1.21,True,-1.21,501.0,16.9425,0.763,100.6,39.43290356,20,8.61666666666667,12.25,1.39,28.04169375,0.1875,4.64,-1.4,18.725
